doc_title,volume,n_tokens,n_paras
THE GOLDEN BIRD,1,2815,19
HANS IN LUCK,1,2736,19
JORINDA AND JORINDEL,1,1238,16
THE TRAVELLING MUSICIANS,1,1555,8
OLD SULTAN,1,974,5
"THE STRAW, THE COAL, AND THE BEAN",1,576,4
BRIAR ROSE,1,1673,10
THE DOG AND THE SPARROW,1,1571,2
THE TWELVE DANCING PRINCESSES,2,1762,12
THE FISHERMAN AND HIS WIFE,1,2540,25
THE WILLOW-WREN AND THE BEAR,2,1066,4
THE FROG-PRINCE,1,1378,14
CAT AND MOUSE IN PARTNERSHIP,1,1166,4
THE GOOSE-GIRL,2,2556,35
THE ADVENTURES OF CHANTICLEER AND PARTLET,1,2118,20
RAPUNZEL,1,1592,13
FUNDEVOGEL,1,1072,6
THE VALIANT LITTLE TAILOR,1,3815,10
HANSEL AND GRETEL,1,3394,21
"THE MOUSE, THE BIRD, AND THE SAUSAGE",1,772,7
MOTHER HOLLE,1,3039,56
THE ROBBER BRIDEGROOM,1,1665,26
TOM THUMB,1,2979,22
RUMPELSTILTSKIN,1,1333,15
CLEVER GRETEL,1,1083,4
THE OLD MAN AND HIS GRANDSON,1,275,3
THE LITTLE PEASANT,1,2396,8
FREDERICK AND CATHERINE,1,2253,15
SWEETHEART ROLAND,1,1691,7
SNOWDROP,1,2707,31
THE PINK,1,2021,5
CLEVER ELSIE,1,1539,3
THE MISER IN THE BUSH,1,1349,8
ASHPUTTEL,1,2926,33
THE WHITE SNAKE,1,1765,13
THE WOLF AND THE SEVEN LITTLE KIDS,1,1229,7
THE QUEEN BEE,1,929,11
THE ELVES AND THE SHOEMAKER,1,808,10
THE JUNIPER-TREE,1,3561,96
THE TURNIP,2,1294,13
CLEVER HANS,1,1292,12
THE THREE LANGUAGES,1,1066,3
THE FOX AND THE CAT,1,341,1
THE FOUR CLEVER BROTHERS,2,1938,12
LILY AND THE LION,2,2636,16
THE FOX AND THE HORSE,2,562,5
THE BLUE LIGHT,2,2012,6
THE RAVEN,2,2709,21
THE GOLDEN GOOSE,1,1756,21
THE WATER OF LIFE,2,3155,20
THE TWELVE HUNTSMEN,1,1226,7
THE KING OF THE GOLDEN MOUNTAIN,2,2777,17
DOCTOR KNOWALL,2,893,2
THE SEVEN RAVENS,1,1119,9
THE WEDDING OF MRS. FOX - PART I,1,493,12
THE WEDDING OF MRS. FOX - PART II,1,451,13
THE SALAD,2,2502,11
THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,1,4473,17
KING GRISLY-BEARD,1,1680,12
IRON HANS,2,3646,13
CAT-SKIN,1,2400,11
SNOW-WHITE AND ROSE-RED,2,2681,25
