doc_title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
ASHPUTTEL,0.005793742757821553,0.019698725376593278,0.00772499034376207,0.00656624179219776,0.0332174584781769,0.016222479721900347,0.005793742757821553,0.026651216685979143,0.010814986481266898
BRIAR ROSE,0.006587615283267457,0.017127799736495388,0.003952569169960474,0.00922266139657444,0.023715415019762844,0.011198945981554678,0.009881422924901186,0.01383399209486166,0.010540184453227932
CAT AND MOUSE IN PARTNERSHIP,0.0010152284263959391,0.030456852791878174,0.01116751269035533,0.003045685279187817,0.03248730964467005,0.014213197969543147,0.007106598984771574,0.03553299492385787,0.023350253807106598
CAT-SKIN,0.006554307116104869,0.01544943820224719,0.006554307116104869,0.007022471910112359,0.02855805243445693,0.013108614232209739,0.010299625468164793,0.018726591760299626,0.009831460674157303
CLEVER ELSIE,0.005979073243647235,0.012705530642750373,0.006726457399103139,0.011210762331838564,0.021674140508221227,0.021674140508221227,0.005979073243647235,0.012705530642750373,-0.004484304932735426
CLEVER GRETEL,0.0032085561497326204,0.013903743315508022,0.0053475935828877,0.0106951871657754,0.016042780748663103,0.009625668449197862,0.006417112299465241,0.016042780748663103,0.0021390374331550803
CLEVER HANS,0.008830022075055188,0.05739514348785872,0.008830022075055188,0.00772626931567329,0.0640176600441501,0.03090507726269316,0.03421633554083885,0.0640176600441501,0.033112582781456956
DOCTOR KNOWALL,0.023106546854942234,0.01797175866495507,0.01540436456996149,0.007702182284980745,0.01668806161745828,0.0038510911424903724,0.01668806161745828,0.057766367137355584,0.02053915275994865
FREDERICK AND CATHERINE,0.00782472613458529,0.010432968179447054,0.003129890453834116,0.003129890453834116,0.016692749087115284,0.005216484089723527,0.008868022952529996,0.01564945226917058,0.008868022952529996
FUNDEVOGEL,0.010649627263045794,0.019169329073482427,0.008519701810436636,0.008519701810436636,0.02023429179978701,0.012779552715654952,0.014909478168264111,0.014909478168264111,0.0
HANS IN LUCK,0.01345668629100084,0.021867115222876366,0.01682085786375105,0.012615643397813289,0.03280067283431455,0.013877207737594618,0.01808242220353238,0.031959629941127,0.00798990748528175
HANSEL AND GRETEL,0.0078125,0.016644021739130436,0.008831521739130434,0.010869565217391304,0.015625,0.012228260869565218,0.008831521739130434,0.01596467391304348,-0.004076086956521739
IRON HANS,0.013312693498452013,0.015170278637770897,0.01393188854489164,0.0173374613003096,0.01764705882352941,0.015170278637770897,0.01238390092879257,0.016408668730650156,-0.010526315789473684
JORINDA AND JORINDEL,0.007908611599297012,0.011423550087873463,0.0035149384885764497,0.007908611599297012,0.023725834797891036,0.011423550087873463,0.005272407732864675,0.019332161687170474,0.011423550087873463
KING GRISLY-BEARD,0.014179608372721135,0.010803511141120865,0.00675219446320054,0.009453072248480757,0.022957461174881837,0.012153950033760972,0.00675219446320054,0.015530047265361242,0.008102633355840648
LILY AND THE LION,0.00510204081632653,0.02040816326530612,0.0017006802721088435,0.012329931972789115,0.031037414965986394,0.00935374149659864,0.006377551020408163,0.0233843537414966,0.025510204081632654
MOTHER HOLLE,0.007493443237167478,0.02098164106406894,0.010116148370176097,0.009741476208317721,0.02397901835893593,0.018733608092918696,0.009366804046459348,0.02098164106406894,-0.0018733608092918695
OLD SULTAN,0.017162471395881007,0.019450800915331808,0.014874141876430207,0.012585812356979404,0.021739130434782608,0.006864988558352402,0.013729977116704805,0.028604118993135013,0.009153318077803204
RAPUNZEL,0.013446567586694975,0.017692852087756547,0.009907997169143666,0.016985138004246284,0.02689313517338995,0.01910828025477707,0.009200283085633405,0.017692852087756547,0.004246284501061571
RUMPELSTILTSKIN,0.006097560975609756,0.01916376306620209,0.005226480836236934,0.009581881533101045,0.033101045296167246,0.006968641114982578,0.006968641114982578,0.01916376306620209,0.02613240418118467
SNOW-WHITE AND ROSE-RED,0.02053388090349076,0.024229979466119097,0.013141683778234086,0.023408624229979465,0.02997946611909651,0.01971252566735113,0.012320328542094456,0.02751540041067762,-0.0012320328542094457
SNOWDROP,0.012992455993294216,0.019698239731768652,0.007124895222129086,0.014249790444258172,0.024727577535624476,0.019279128248113998,0.01173512154233026,0.019698239731768652,0.0008382229673093043
SWEETHEART ROLAND,0.009453072248480757,0.024307900067521943,0.008777852802160702,0.014854827819041188,0.03038487508440243,0.014854827819041188,0.00675219446320054,0.02633355840648211,0.017555705604321403
THE ADVENTURES OF CHANTICLEER AND PARTLET,0.0037253858435337944,0.010643959552953698,0.004789781798829164,0.008515167642362959,0.014901543374135177,0.015433741351782864,0.005321979776476849,0.014901543374135177,-0.0021287919105907396
THE BLUE LIGHT,0.029731275014293884,0.005145797598627788,0.010863350485991996,0.017724413950829045,0.010291595197255575,0.030303030303030304,0.006289308176100629,0.013150371640937679,-0.004574042309891366
THE DOG AND THE SPARROW,0.03115727002967359,0.0051928783382789315,0.022997032640949554,0.02596439169139466,0.005934718100890208,0.037091988130563795,0.004451038575667656,0.004451038575667656,-0.04302670623145401
THE ELVES AND THE SHOEMAKER,0.005369127516778523,0.013422818791946308,0.0026845637583892616,0.005369127516778523,0.022818791946308724,0.0026845637583892616,0.010738255033557046,0.020134228187919462,0.025503355704697986
THE FISHERMAN AND HIS WIFE,0.008470588235294117,0.008470588235294117,0.008,0.010352941176470589,0.015529411764705882,0.00988235294117647,0.008,0.017411764705882352,0.00047058823529411766
THE FOUR CLEVER BROTHERS,0.017038777908343124,0.014688601645123384,0.006462984723854289,0.015863689776733254,0.021739130434782608,0.012338425381903642,0.01880141010575793,0.018213866039952998,0.011163337250293772
THE FOX AND THE CAT,0.00684931506849315,0.030821917808219176,0.0136986301369863,0.00684931506849315,0.023972602739726026,0.0136986301369863,0.02054794520547945,0.0273972602739726,0.010273972602739725
THE FOX AND THE HORSE,0.00808080808080808,0.014141414141414142,0.006060606060606061,0.024242424242424242,0.01818181818181818,0.014141414141414142,0.00808080808080808,0.03232323232323232,0.022222222222222223
THE FROG-PRINCE,0.009159034138218152,0.005828476269775187,0.004163197335553705,0.009991673605328892,0.018318068276436304,0.014154870940882597,0.00832639467110741,0.009159034138218152,-0.0008326394671107411
THE GOLDEN BIRD,0.01338055883510429,0.01770956316410862,0.008658008658008658,0.016922471467926012,0.018496654860291225,0.01810310901219992,0.012593467138921684,0.015348288075560802,-0.0007870916961826052
THE GOLDEN GOOSE,0.00818639798488665,0.018261964735516372,0.009445843828715366,0.00818639798488665,0.02518891687657431,0.014483627204030227,0.017632241813602016,0.015113350125944584,0.009445843828715366
THE GOOSE-GIRL,0.005335704757670075,0.029791018230324588,0.004001778568252557,0.011116051578479324,0.03468208092485549,0.01511783014673188,0.008892841262783458,0.028012449977767896,0.017341040462427744
THE JUNIPER-TREE,0.014248704663212436,0.025259067357512953,0.012629533678756476,0.01133419689119171,0.0352979274611399,0.02882124352331606,0.007124352331606218,0.026230569948186528,0.006800518134715026
THE KING OF THE GOLDEN MOUNTAIN,0.008477997577714978,0.016148566814695196,0.005651998385143318,0.010092854259184497,0.024222850222042795,0.010092854259184497,0.010092854259184497,0.023415421881308032,0.013322567622123537
THE LITTLE PEASANT,0.011057692307692308,0.0057692307692307696,0.0057692307692307696,0.009134615384615385,0.012980769230769231,0.007211538461538462,0.0028846153846153848,0.020192307692307693,0.00625
THE MISER IN THE BUSH,0.019524617996604415,0.025466893039049237,0.008488964346349746,0.011884550084889643,0.03480475382003396,0.011884550084889643,0.019524617996604415,0.038200339558573854,0.027164685908319185
"THE MOUSE, THE BIRD, AND THE SAUSAGE",0.00425531914893617,0.00851063829787234,0.0070921985815602835,0.0070921985815602835,0.01276595744680851,0.01276595744680851,0.00425531914893617,0.02127659574468085,-0.0014184397163120568
THE OLD MAN AND HIS GRANDSON,0.0,0.012,0.0,0.012,0.016,0.02,0.004,0.008,-0.012
THE PINK,0.008296460176991151,0.02101769911504425,0.00995575221238938,0.01327433628318584,0.02820796460176991,0.014933628318584071,0.0055309734513274336,0.02267699115044248,0.007190265486725664
THE QUEEN BEE,0.011655011655011656,0.013986013986013986,0.005827505827505828,0.008158508158508158,0.02097902097902098,0.013986013986013986,0.009324009324009324,0.019813519813519812,0.006993006993006993
THE RAVEN,0.0070247933884297524,0.013223140495867768,0.002892561983471074,0.006198347107438017,0.025206611570247933,0.01487603305785124,0.0049586776859504135,0.021487603305785124,0.011570247933884297
THE ROBBER BRIDEGROOM,0.01152542372881356,0.029830508474576273,0.009491525423728813,0.01830508474576271,0.029152542372881354,0.016271186440677966,0.008135593220338983,0.023728813559322035,0.006779661016949152
THE SALAD,0.013134057971014492,0.021739130434782608,0.008605072463768116,0.01358695652173913,0.030344202898550724,0.015398550724637682,0.018115942028985508,0.020380434782608696,0.006793478260869565
THE SEVEN RAVENS,0.003952569169960474,0.016798418972332016,0.001976284584980237,0.007905138339920948,0.023715415019762844,0.017786561264822136,0.005928853754940711,0.020750988142292492,0.003952569169960474
THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,0.014988167236392323,0.017617670260320798,0.010780962398106757,0.025506179332106232,0.017880620562713646,0.013410465422035235,0.012358664212463844,0.012621614514856692,-0.007888509071785432
"THE STRAW, THE COAL, AND THE BEAN",0.00992063492063492,0.013888888888888888,0.005952380952380952,0.011904761904761904,0.013888888888888888,0.017857142857142856,0.013888888888888888,0.007936507936507936,-0.013888888888888888
