term_str,n,p,i,n_chars,max_pos_group,max_pos,porter_stem,stop,df,idf,tfidf_mean,dfidf,dp,di,dh
the,6927,0.0685529362864438,3.86663772836297,3,DT,DT,the,1,62,0.0,0.0,0.0,1.0,0.0,0.0
and,5433,0.0537675909981592,4.2171193551869175,3,CC,CC,and,1,62,0.0,0.0,0.0,1.0,0.0,0.0
to,2662,0.0263444371870237,5.24635783094635,2,TO,TO,to,1,62,0.0,0.0,0.0,1.0,0.0,0.0
he,2093,0.0207133384795043,5.593296090602532,2,PR,PRP,he,1,62,0.0,0.0,0.0,1.0,0.0,0.0
a,1909,0.0188923856461413,5.726051299454304,1,DT,DT,a,1,62,0.0,0.0,0.0,1.0,0.0,0.0
was,1377,0.0136274568018526,6.197339842723277,3,VB,VBD,wa,1,61,0.02345897282398896,0.00031765149242506027,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
of,1352,0.0133800447321022,6.223773250576057,2,IN,IN,of,1,62,0.0,0.0,0.0,1.0,0.0,0.0
it,1310,0.0129643924549215,6.269301590433429,2,PR,PRP,it,1,61,0.02345897282398896,0.00028846891660326714,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
she,1232,0.0121924667973002,6.35786614616334,3,PR,PRP,she,1,54,0.19930880822340666,0.0023598902968118432,10.76267564406396,0.8709677419354839,0.19930880822340666,0.1735915426461929
you,1192,0.0117966074856995,6.4054841663960795,3,PR,PRP,you,1,60,0.04730571477835682,0.0005820801706842594,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
said,1162,0.011499713001999,6.4422583334537125,4,VB,VBD,said,0,62,0.0,0.0,0.0,1.0,0.0,0.0
that,1151,0.0113908516913089,6.455980568726011,4,IN,IN,that,1,61,0.02345897282398896,0.00026159641474549945,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
in,1147,0.0113512657601488,6.461003010842417,2,IN,IN,in,1,62,0.0,0.0,0.0,1.0,0.0,0.0
her,1115,0.0110345783108683,6.501824692050574,3,PR,PRP$,her,1,57,0.1213062962221336,0.0012925466854917208,6.914458884661615,0.9193548387096774,0.1213062962221336,0.11152353039776798
i,1103,0.0109158205173881,6.517435611266858,1,PR,PRP,i,1,60,0.04730571477835682,0.0005073415286427464,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
his,1032,0.0102131702392969,6.613425431434987,3,PR,PRP$,hi,1,59,0.07155326102503407,0.000709378458772743,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
but,897,0.0088771450626447,6.81568851193898,3,CC,CC,but,1,62,0.0,0.0,0.0,1.0,0.0,0.0
him,881,0.0087188013380044,6.841654477937827,3,PR,PRP,him,1,62,0.0,0.0,0.0,1.0,0.0,0.0
they,842,0.0083328385091938,6.9069762637918455,4,PR,PRP,they,1,59,0.07155326102503407,0.0006104344995482857,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
had,839,0.0083031490608237,6.912125686418418,3,VB,VBD,had,1,62,0.0,0.0,0.0,1.0,0.0,0.0
as,770,0.0076202917483126,7.035938051275978,2,IN,IN,as,1,60,0.04730571477835682,0.0003454906787369032,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
not,755,0.0074718445064624,7.0643198526458,3,RB,RB,not,1,61,0.02345897282398896,0.00017621423092636893,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
for,746,0.0073827761613522,7.081620866603004,3,IN,IN,for,1,61,0.02345897282398896,0.00017272057080089493,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
so,730,0.0072244324367119,7.112900033090861,2,RB,RB,so,1,59,0.07155326102503407,0.0005101994914509272,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
with,703,0.0069572274013815,7.167271807785706,4,IN,IN,with,1,62,0.0,0.0,0.0,1.0,0.0,0.0
then,674,0.006670229400471,7.228047905676383,4,RB,RB,then,1,62,0.0,0.0,0.0,1.0,0.0,0.0
when,647,0.0064030243651406,7.287030784865734,4,WR,WRB,when,1,62,0.0,0.0,0.0,1.0,0.0,0.0
on,628,0.0062149911921303,7.330031937966615,2,IN,IN,on,1,60,0.04730571477835682,0.00027500803068392543,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
at,619,0.0061259228470201,7.350857087643977,2,IN,IN,at,1,61,0.02345897282398896,0.0001485163519631206,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
all,587,0.0058092353977396,7.427435993748189,3,DT,DT,all,1,60,0.04730571477835682,0.00028363581326025755,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
will,570,0.0056409951903093,7.469834577806138,4,MD,MD,will,1,60,0.04730571477835682,0.0002578171737017825,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
be,529,0.0052352393959186,7.577528774744216,2,VB,VB,be,1,59,0.07155326102503407,0.000371550852112197,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
have,502,0.0049680343605882,7.65310913290747,4,VB,VBP,have,1,59,0.07155326102503407,0.0003725935174305553,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
into,479,0.0047404152564178,7.720770841122061,4,IN,IN,into,1,58,0.09621531525930298,0.0004495433546523744,5.580488285039572,0.9354838709677419,0.09621531525930327,0.09000787556515466
out,470,0.0046513469113077,7.748135740293241,3,RP,RP,out,1,61,0.02345897282398896,0.00010949300015935574,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
is,465,0.0046018644973576,7.763565780862847,2,VB,VBZ,is,1,58,0.09621531525930298,0.000439658184716901,5.580488285039572,0.9354838709677419,0.09621531525930327,0.09000787556515466
came,460,0.0045523820834075,7.779162635913866,4,VB,VBD,came,0,60,0.04730571477835682,0.00021184083177600525,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
me,455,0.0045028996694574,7.794929951772183,2,PR,PRP,me,1,55,0.17283659686221553,0.00074963288942944,9.506012827421854,0.8870967741935484,0.17283659686221553,0.15332278753906217
went,441,0.0043643489103972,7.84001784130072,4,VB,VBD,went,0,58,0.09621531525930298,0.00038476000982482275,5.580488285039572,0.9354838709677419,0.09621531525930327,0.09000787556515466
what,426,0.0042159016685469,7.889943066632403,4,WP,WP,what,1,61,0.02345897282398896,0.00010661320920609874,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
one,409,0.0040476614611167,7.948695653916492,3,CD,CD,one,0,59,0.07155326102503407,0.0002940105555581503,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
up,401,0.0039684895987965,7.977194260403321,2,RP,RP,up,1,59,0.07155326102503407,0.0002826014683307204,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
there,395,0.0039091107020564,7.998943843793776,5,EX,EX,there,1,61,0.02345897282398896,9.275369826868477e-05,1.4309973422633264,0.9838709677419355,0.02345897282398896,0.02308060229456978
little,393,0.0038893177364764,8.006267184599634,6,JJ,JJ,littl,0,53,0.226275855823676,0.000831693640577995,11.992620358654827,0.8548387096774194,0.226275855823676,0.19342936062346497
them,377,0.0037309740118361,8.066231973589577,4,PR,PRP,them,1,56,0.14684138832927118,0.0005508820389812029,8.223117746439186,0.9032258064516129,0.14684138832927118,0.13263093139418042
my,371,0.003671595115096,8.089377310237438,2,PR,PRP$,my,1,55,0.17283659686221553,0.000616581204220503,9.506012827421854,0.8870967741935484,0.17283659686221553,0.15332278753906217
s,361,0.0035726302871959,8.12879765997107,1,NN,NN,s,1,57,0.1213062962221336,0.00041223959340697526,6.914458884661615,0.9193548387096774,0.1213062962221336,0.11152353039776798
king,361,0.0035726302871959,8.12879765997107,4,NN,NN,king,0,29,1.096215315259303,0.003474031202064889,31.79024414251979,0.46774193548387094,1.0962153152593033,0.5127458732664483
were,342,0.0033845971141856,8.206800171972343,4,VB,VBD,were,1,57,0.1213062962221336,0.00041669845083447534,6.914458884661615,0.9193548387096774,0.1213062962221336,0.11152353039776798
if,328,0.0032460463551253,8.267100682240157,2,IN,IN,if,1,57,0.1213062962221336,0.00037823896903079325,6.914458884661615,0.9193548387096774,0.1213062962221336,0.11152353039776798
this,327,0.0032361498723353,8.27150586136016,4,DT,DT,thi,1,56,0.14684138832927118,0.00045959345873388617,8.223117746439186,0.9032258064516129,0.14684138832927118,0.13263093139418042
down,324,0.0032064604239653,8.284802683973616,4,RP,RP,down,1,56,0.14684138832927118,0.000465011222141606,8.223117746439186,0.9032258064516129,0.14684138832927118,0.13263093139418042
who,317,0.0031371850444352,8.316313656718833,3,WP,WP,who,1,57,0.1213062962221336,0.0003939600235728483,6.914458884661615,0.9193548387096774,0.1213062962221336,0.11152353039776798
no,310,0.003067909664905,8.348528281584004,2,DT,DT,no,1,59,0.07155326102503407,0.00021842442494021303,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
by,291,0.0028798764918947,8.439777343949958,2,IN,IN,by,1,58,0.09621531525930298,0.00025548179223674507,5.580488285039572,0.9354838709677419,0.09621531525930327,0.09000787556515466
away,291,0.0028798764918947,8.439777343949958,4,RB,RB,away,0,60,0.04730571477835682,0.0001331553966804796,2.838342886701409,0.967741935483871,0.04730571477835652,0.04577972397905469
do,285,0.0028204975951546,8.469834577806138,2,VB,VB,do,1,59,0.07155326102503407,0.00020752501260363836,4.22164240047701,0.9516129032258065,0.07155326102503376,0.06809100645930632
again,282,0.0027908081467846,8.485101334459447,5,RB,RB,again,1,52,0.253756592245783,0.0006083975301917781,13.195342796780716,0.8387096774193549,0.253756592245783,0.21282810962549542
go,278,0.0027512222156245,8.505711614134734,2,VB,VB,go,0,52,0.253756592245783,0.0006112057095098413,13.195342796780716,0.8387096774193549,0.253756592245783,0.21282810962549542
would,265,0.0026225679393543,8.57480413740768,5,MD,MD,would,0,58,0.09621531525930298,0.0002468322434482237,5.580488285039572,0.9354838709677419,0.09621531525930327,0.09000787556515466
could,260,0.0025730855254042,8.602284873829786,5,MD,MD,could,0,54,0.19930880822340666,0.0005052762594020138,10.76267564406396,0.8709677419354839,0.19930880822340666,0.1735915426461929
took,247,0.002444431249134,8.676285455273563,4,VB,VBD,took,0,55,0.17283659686221553,0.00039911785876146254,9.506012827421854,0.8870967741935484,0.17283659686221553,0.15332278753906217
their,237,0.0023454664212338,8.735909437959982,5,PR,PRP$,their,1,50,0.3103401206121505,0.0006929041176919635,15.517006030607524,0.8064516129032258,0.3103401206121505,0.25027429081625036
your,234,0.0023157769728638,8.754287967274838,4,PR,PRP$,your,1,51,0.2817709684153795,0.0006630888832979405,14.370319389184356,0.8225806451612904,0.2817709684153795,0.23177934498684447
very,229,0.0022662945589137,8.785448898761297,4,RB,RB,veri,1,53,0.226275855823676,0.0004928789668790205,11.992620358654827,0.8548387096774194,0.226275855823676,0.19342936062346497
man,226,0.0022366051105437,8.804473724443053,3,NN,NN,man,0,42,0.561878887608115,0.001129464633559907,23.59891327954083,0.6774193548387096,0.561878887608115,0.3806276335409811
now,224,0.0022168121449636,8.817297764800637,3,RB,RB,now,1,55,0.17283659686221553,0.0003757193218018524,9.506012827421854,0.8870967741935484,0.17283659686221553,0.15332278753906217
are,220,0.0021772262138036,8.843292973333583,3,VB,VBP,are,1,55,0.17283659686221553,0.0004313424402339248,9.506012827421854,0.8870967741935484,0.17283659686221553,0.15332278753906217
did,211,0.0020881578686934,8.903553498151057,3,VB,VBD,did,1,54,0.19930880822340666,0.0004556838500041848,10.76267564406396,0.8709677419354839,0.19930880822340666,0.1735915426461929
good,206,0.0020386754547433,8.938152159675022,4,JJ,JJ,good,0,51,0.2817709684153795,0.0007015363303771873,14.370319389184356,0.8225806451612904,0.2817709684153795,0.23177934498684447
can,205,0.0020287789719533,8.945172587352795,3,MD,MD,can,1,52,0.253756592245783,0.0004885209324500965,13.195342796780716,0.8387096774193549,0.253756592245783,0.21282810962549542
old,201,0.0019891930407933,8.973600995679313,3,JJ,JJ,old,0,44,0.49476469174957804,0.0012505140931473064,21.769646436981432,0.7096774193548387,0.4947646917495778,0.35112332962873266
we,200,0.0019792965580032,8.980796497083517,2,PR,PRP,we,1,44,0.49476469174957804,0.0009691215200823349,21.769646436981432,0.7096774193548387,0.4947646917495778,0.35112332962873266
time,200,0.0019792965580032,8.980796497083517,4,NN,NN,time,0,56,0.14684138832927118,0.0002933605013605846,8.223117746439186,0.9032258064516129,0.14684138832927118,0.13263093139418042
upon,198,0.0019595035924232,8.995296066778632,4,IN,IN,upon,0,46,0.4306343543298623,0.0008914260454921711,19.809180299173665,0.7419354838709677,0.4306343543298623,0.31950290805118814
from,197,0.0019496071096332,9.002600867401865,4,IN,IN,from,1,53,0.226275855823676,0.0004462425449132797,11.992620358654827,0.8548387096774194,0.226275855823676,0.19342936062346497
off,196,0.0019397106268432,9.009942842743031,3,RP,RP,off,1,51,0.2817709684153795,0.0005211939142894219,14.370319389184356,0.8225806451612904,0.2817709684153795,0.23177934498684447
which,189,0.0018704352473131,9.062410262637169,5,WD,WDT,which,1,50,0.3103401206121505,0.0005429365952854398,15.517006030607524,0.8064516129032258,0.3103401206121505,0.25027429081625036
come,188,0.001860538764523,9.070063835180605,4,VB,VB,come,0,53,0.226275855823676,0.0004063004671223981,11.992620358654827,0.8548387096774194,0.226275855823676,0.19342936062346497
day,185,0.001830849316153,9.09327122634193,3,NN,NN,day,0,51,0.2817709684153795,0.000540914185326755,14.370319389184356,0.8225806451612904,0.2817709684153795,0.23177934498684447
saw,183,0.001811056350573,9.1089528485742,3,VB,VBD,saw,0,53,0.226275855823676,0.0004091095740679543,11.992620358654827,0.8548387096774194,0.226275855823676,0.19342936062346497
father,183,0.001811056350573,9.1089528485742,6,NN,NN,father,0,29,1.096215315259303,0.0017263611363282747,31.79024414251979,0.46774193548387094,1.0962153152593033,0.5127458732664483
how,180,0.0017813669022029,9.132799590528569,3,WR,WRB,how,1,48,0.3692338096657191,0.0006529585175203967,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589
home,180,0.0017813669022029,9.132799590528569,4,NN,NN,home,0,50,0.3103401206121505,0.0005509177246977606,15.517006030607524,0.8064516129032258,0.3103401206121505,0.25027429081625036
before,175,0.0017318844882528,9.173441575025912,6,IN,IN,befor,1,53,0.226275855823676,0.00036163716312823303,11.992620358654827,0.8548387096774194,0.226275855823676,0.19342936062346497
should,172,0.0017021950398828,9.198387932156145,6,MD,MD,should,1,51,0.2817709684153795,0.0005085173423106836,14.370319389184356,0.8225806451612904,0.2817709684153795,0.23177934498684447
himself,171,0.0016922985570928,9.206800171972343,7,PR,PRP,himself,1,45,0.46234321405720047,0.0007060446862219475,20.80544463257402,0.7258064516129032,0.46234321405720047,0.33557168762216166
about,170,0.0016824020743027,9.21526175072054,5,IN,IN,about,1,48,0.3692338096657191,0.0005715230948927766,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589
shall,169,0.0016725055915127,9.223773250576055,5,MD,MD,shall,0,46,0.4306343543298623,0.0006597574532612553,19.809180299173665,0.7419354838709677,0.4306343543298623,0.31950290805118814
take,169,0.0016725055915127,9.223773250576055,4,VB,VB,take,0,47,0.39960745870923775,0.0006275393720732255,18.781550559334175,0.7580645161290323,0.39960745870923775,0.30292823482797054
must,166,0.0016428161431427,9.249613255511315,4,MD,MD,must,0,49,0.33948646627166706,0.0005176233758990478,16.634836847311686,0.7903225806451613,0.33948646627166706,0.2683038201179304
thought,166,0.0016428161431427,9.249613255511315,7,VB,VBD,thought,0,48,0.3692338096657191,0.0005725600014504146,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589
where,165,0.0016329196603527,9.258330472612425,5,WR,WRB,where,1,48,0.3692338096657191,0.0006268148652808697,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589
well,164,0.0016230231775626,9.267100682240155,4,RB,RB,well,0,49,0.33948646627166706,0.0005558881327676315,16.634836847311686,0.7903225806451613,0.33948646627166706,0.2683038201179304
let,158,0.0015636442808225,9.32087193868114,3,VB,VB,let,0,51,0.2817709684153795,0.0004601471082335436,14.370319389184356,0.8225806451612904,0.2817709684153795,0.23177934498684447
soon,157,0.0015537477980325,9.330031937966616,4,RB,RB,soon,0,50,0.3103401206121505,0.0004825661003646453,15.517006030607524,0.8064516129032258,0.3103401206121505,0.25027429081625036
see,155,0.0015339548324525,9.348528281584004,3,VB,VB,see,0,48,0.3692338096657191,0.0005189654779393557,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589
cried,153,0.0015141618668725,9.36726484416559,5,VB,VBD,cri,0,46,0.4306343543298623,0.0006613904851089508,19.809180299173665,0.7419354838709677,0.4306343543298623,0.31950290805118814
mother,152,0.0015042653840824,9.376725173414656,6,NN,NN,mother,0,25,1.3103401206121505,0.0018784790790799255,32.758503015303766,0.4032258064516129,1.3103401206121505,0.5283629518597381
great,152,0.0015042653840824,9.376725173414656,5,JJ,JJ,great,0,44,0.49476469174957804,0.0006350878013843201,21.769646436981432,0.7096774193548387,0.4947646917495778,0.35112332962873266
back,152,0.0015042653840824,9.376725173414656,4,RB,RB,back,0,49,0.33948646627166706,0.00045637834981224917,16.634836847311686,0.7903225806451613,0.33948646627166706,0.2683038201179304
am,151,0.0014943689012924,9.386247947533162,2,VB,VBP,am,1,44,0.49476469174957804,0.0008038361005249677,21.769646436981432,0.7096774193548387,0.4947646917495778,0.35112332962873266
wife,150,0.0014844724185024,9.39583399636236,4,NN,NN,wife,0,33,0.9098021910284219,0.0014043729021986223,30.023472303937922,0.532258064516129,0.9098021910284219,0.4842495532893213
