doc_title,term_str,n
ASHPUTTEL,_my_,1
ASHPUTTEL,a,21
ASHPUTTEL,about,3
ASHPUTTEL,after,2
ASHPUTTEL,afterwards,1
ASHPUTTEL,again,14
ASHPUTTEL,against,2
ASHPUTTEL,all,20
ASHPUTTEL,almost,1
ASHPUTTEL,also,1
ASHPUTTEL,altogether,1
ASHPUTTEL,always,4
ASHPUTTEL,am,1
ASHPUTTEL,amid,1
ASHPUTTEL,among,4
ASHPUTTEL,an,3
ASHPUTTEL,and,179
ASHPUTTEL,anger,1
ASHPUTTEL,another,1
ASHPUTTEL,anyone,3
ASHPUTTEL,are,2
ASHPUTTEL,as,14
ASHPUTTEL,ashes,11
ASHPUTTEL,ashheap,1
ASHPUTTEL,ashputtel,16
ASHPUTTEL,ask,1
ASHPUTTEL,asked,5
ASHPUTTEL,at,24
ASHPUTTEL,away,14
ASHPUTTEL,axe,1
ASHPUTTEL,back,11
ASHPUTTEL,ball,6
ASHPUTTEL,be,4
ASHPUTTEL,beautiful,6
ASHPUTTEL,beauty,2
ASHPUTTEL,became,1
ASHPUTTEL,bed,1
ASHPUTTEL,bedside,1
ASHPUTTEL,been,2
ASHPUTTEL,before,7
ASHPUTTEL,began,2
ASHPUTTEL,begged,2
ASHPUTTEL,begging,1
ASHPUTTEL,behind,1
ASHPUTTEL,being,1
ASHPUTTEL,beneath,1
ASHPUTTEL,beside,1
ASHPUTTEL,besides,1
ASHPUTTEL,bird,6
ASHPUTTEL,birds,2
ASHPUTTEL,blackbird,2
ASHPUTTEL,blood,3
ASHPUTTEL,both,2
ASHPUTTEL,bought,1
ASHPUTTEL,branch,1
ASHPUTTEL,bread,1
ASHPUTTEL,bride,11
ASHPUTTEL,bring,2
ASHPUTTEL,broke,1
ASHPUTTEL,broken,1
ASHPUTTEL,brought,10
ASHPUTTEL,brush,1
ASHPUTTEL,brushed,1
ASHPUTTEL,brushes,1
ASHPUTTEL,built,1
ASHPUTTEL,buried,1
ASHPUTTEL,burning,1
ASHPUTTEL,but,26
ASHPUTTEL,by,12
ASHPUTTEL,called,3
ASHPUTTEL,came,24
ASHPUTTEL,can,7
ASHPUTTEL,care,2
ASHPUTTEL,carried,1
ASHPUTTEL,carry,1
ASHPUTTEL,chaffinch,2
ASHPUTTEL,child,2
ASHPUTTEL,chimney,1
ASHPUTTEL,chirping,2
ASHPUTTEL,choose,1
ASHPUTTEL,clothes,9
ASHPUTTEL,clumsy,1
ASHPUTTEL,comb,1
ASHPUTTEL,come,5
ASHPUTTEL,cook,1
ASHPUTTEL,copse,1
ASHPUTTEL,could,5
ASHPUTTEL,course,1
ASHPUTTEL,covering,1
ASHPUTTEL,cried,6
ASHPUTTEL,crying,1
ASHPUTTEL,curtsied,1
ASHPUTTEL,cut,3
ASHPUTTEL,dance,7
ASHPUTTEL,danced,5
ASHPUTTEL,dancing,2
ASHPUTTEL,dare,1
ASHPUTTEL,daughter,3
ASHPUTTEL,daughters,4
ASHPUTTEL,day,6
ASHPUTTEL,daylight,1
ASHPUTTEL,days,1
ASHPUTTEL,dear,1
ASHPUTTEL,diamonds,2
ASHPUTTEL,did,3
ASHPUTTEL,died,1
ASHPUTTEL,dim,1
ASHPUTTEL,dirt,1
ASHPUTTEL,dirty,4
ASHPUTTEL,dish,2
ASHPUTTEL,dishes,4
ASHPUTTEL,dishful,1
ASHPUTTEL,do,1
ASHPUTTEL,does,1
ASHPUTTEL,done,4
ASHPUTTEL,door,3
ASHPUTTEL,doubt,1
ASHPUTTEL,dove,4
ASHPUTTEL,doves,4
ASHPUTTEL,down,13
ASHPUTTEL,dress,3
ASHPUTTEL,drew,2
ASHPUTTEL,dropped,1
ASHPUTTEL,dusty,1
ASHPUTTEL,early,1
ASHPUTTEL,earn,1
ASHPUTTEL,eat,1
ASHPUTTEL,eldest,1
ASHPUTTEL,else,3
ASHPUTTEL,end,2
ASHPUTTEL,even,1
ASHPUTTEL,evening,1
ASHPUTTEL,every,2
ASHPUTTEL,everyone,1
ASHPUTTEL,eyes,1
ASHPUTTEL,face,4
ASHPUTTEL,fair,2
ASHPUTTEL,false,1
ASHPUTTEL,father,11
ASHPUTTEL,feast,7
ASHPUTTEL,feet,1
ASHPUTTEL,fell,2
ASHPUTTEL,felt,1
ASHPUTTEL,find,1
ASHPUTTEL,fine,6
ASHPUTTEL,finer,2
ASHPUTTEL,fire,1
ASHPUTTEL,first,9
ASHPUTTEL,fits,1
ASHPUTTEL,fitted,1
ASHPUTTEL,flew,5
ASHPUTTEL,fluttering,1
ASHPUTTEL,fly,2
ASHPUTTEL,flying,2
ASHPUTTEL,followed,3
ASHPUTTEL,foot,3
ASHPUTTEL,for,28
ASHPUTTEL,forced,1
ASHPUTTEL,former,1
ASHPUTTEL,foul,1
ASHPUTTEL,found,2
ASHPUTTEL,friend,2
ASHPUTTEL,frightened,1
ASHPUTTEL,frock,4
ASHPUTTEL,from,6
ASHPUTTEL,fruit,1
ASHPUTTEL,full,1
ASHPUTTEL,garden,6
ASHPUTTEL,gave,3
ASHPUTTEL,gay,2
ASHPUTTEL,get,2
ASHPUTTEL,girl,4
ASHPUTTEL,go,15
ASHPUTTEL,going,2
ASHPUTTEL,gold,5
ASHPUTTEL,golden,5
ASHPUTTEL,gone,5
ASHPUTTEL,good,4
ASHPUTTEL,goodfornothing,1
ASHPUTTEL,got,3
ASHPUTTEL,grain,2
ASHPUTTEL,granted,1
ASHPUTTEL,grave,3
ASHPUTTEL,great,2
ASHPUTTEL,green,1
ASHPUTTEL,grew,1
ASHPUTTEL,grey,3
ASHPUTTEL,had,21
ASHPUTTEL,hair,1
ASHPUTTEL,half,1
ASHPUTTEL,hand,3
ASHPUTTEL,hands,1
ASHPUTTEL,happened,2
ASHPUTTEL,hard,3
ASHPUTTEL,has,1
ASHPUTTEL,haste,6
ASHPUTTEL,hat,2
ASHPUTTEL,have,10
ASHPUTTEL,hazel,1
ASHPUTTEL,hazeltree,10
ASHPUTTEL,he,27
ASHPUTTEL,heads,2
ASHPUTTEL,hear,1
ASHPUTTEL,heart,1
ASHPUTTEL,hearth,1
ASHPUTTEL,heaven,3
ASHPUTTEL,heel,1
ASHPUTTEL,held,2
ASHPUTTEL,help,3
ASHPUTTEL,her,95
