term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
the,-0.10983359,0.11960425,-0.036173716,0.012484621,-0.002990528,0.049091864,0.13880837,0.17811978,-0.027026843,0.12546068,-0.096583545,0.022933586,0.013041476,-0.025206354,0.027826523,-0.18937676,0.029880624,0.2006047,-0.11235382,-0.26593,0.22344567,-0.23409012,0.1333533,-0.14801134,-0.198901,-0.07848568,-0.011419683,-0.1612308,-0.23179537,-0.009467039,0.03751855,0.036682483,-0.069214284,-0.05481103,-0.04443565,0.033593975,-0.041461248,-0.12861203,-0.0023930417,-0.018561417,-0.15594877,0.049226753,-0.18173859,0.048494335,0.08920803,-0.11680953,-0.07087515,0.00618407,0.20941117,0.11649264,-0.023936475,-0.001982523,0.04487776,-0.047260813,0.05119909,-0.007310094,-0.023611661,-0.13705164,-0.13577585,-0.06311888,-0.006554948,-0.09225015,0.011372204,-0.13390017,-0.14974737,-0.025247095,0.045311034,0.16858485,-0.30391175,0.14463842,0.09105906,0.1776061,0.13510971,-0.019216577,-0.015895812,0.0075831916,0.21253814,-0.14265133,-0.04564584,0.03912501,-0.12412916,-0.09879071,-0.1386823,0.2733985,-0.14767292,-0.0130723445,0.023174107,0.034191124,0.19121593,0.076099746,0.0661484,0.19875447,0.21878721,0.09588126,0.25882056,0.14174692,-0.07942208,-0.07935571,0.12767869,-0.04392256,-0.03014513,0.15388234,0.14583284,-0.11339618,0.087839365,-0.26499555,0.092243314,0.18207356,-0.072526686,-0.16211613,0.075111754,-0.2806803,-0.09031226,-0.061624892,0.19045603,-0.039231792,0.19322558,-0.093129106,-0.062499635,-0.0020892946,-0.0071609844,0.050085623,0.06449024,-0.05098785,-0.10908543,-0.045530654,-0.11401647,-0.12875855,-0.15312465,-0.04283927,0.28379273,-0.017139405,-0.070131555,-0.27997628,-0.104870185,0.049596023,-0.05345416,0.04706529,-0.032609053,-0.27419794,0.3134695,-0.18049978,-0.009391943,-0.10659816,0.07160642,0.1918218,-0.038313556,0.040833976,-0.004471529,0.07208783,0.16905898,-0.12683345,0.014392178,0.018879477,-0.22262894,0.20022675,0.002094166,0.11525114,-0.25354022,0.14629239,0.040958837,0.09943244,-0.14474435,-0.15112488,0.006686964,0.2177845,0.3070011,-0.13067646,0.07687856,-0.018215064,-0.23721026,0.055946063,0.13397525,0.070840925,0.22072771,0.17932443,-0.24443437,0.09702541,0.080449685,0.028086737,0.020362124,0.09137363,0.0903624,0.037162203,0.12314979,0.12904763,0.058409482,0.09522411,0.27949202,-0.092075475,0.114955686,0.047069065,-0.13790442,-0.27358353,0.20575699,0.0039576744,0.163215,-0.30098605,-0.09973036,-0.18671805
and,-0.0963212,0.08819779,-0.06985996,0.045204673,0.04407634,0.023208503,0.11439061,0.1910999,-0.051182784,0.12530692,-0.12997527,0.013293952,0.020589009,0.002925505,0.0105612,-0.1606363,0.027440226,0.18780984,-0.07884251,-0.23867,0.1601426,-0.22173412,0.0743175,-0.14006093,-0.15303497,-0.06222743,-0.033555564,-0.16448444,-0.21223754,0.030159365,0.05864859,0.009775756,-0.07927743,-0.05204378,-0.04768768,0.06776977,-0.042694606,-0.09922365,-0.0046629016,-0.023276607,-0.11384286,0.025469527,-0.14568692,0.028224502,0.121954635,-0.08937875,-0.03848489,-0.044724673,0.14968158,0.095298916,0.028269248,-0.014061692,0.013694339,-0.054049905,0.01708991,-0.0044062706,-0.05909185,-0.13363087,-0.16338915,-0.07923436,-0.023025135,-0.08914164,0.027795196,-0.11366507,-0.16862099,-0.011605718,0.08641375,0.18347302,-0.284971,0.16228613,0.051820144,0.15758646,0.13017817,-0.007169753,0.019654898,0.015915813,0.1908123,-0.1362861,-0.083279625,0.03188248,-0.11572244,-0.09549655,-0.15273702,0.25955617,-0.13701876,-0.049443778,-0.019610101,0.041155443,0.16545619,0.04162068,0.08896784,0.17284782,0.1793524,0.09121159,0.23348795,0.1187206,-0.025104182,-0.03349198,0.120389886,-0.03519761,-0.05471646,0.19109185,0.13976228,-0.12798484,0.054020744,-0.2510039,0.08900814,0.17839141,-0.093318135,-0.16271515,0.06482184,-0.24578,-0.07439814,-0.080049664,0.16311044,-0.05789052,0.15149364,-0.15612559,-0.077202864,0.0014760534,-0.01910481,0.06287582,0.07628091,-0.022489391,-0.14154647,-0.03285366,-0.073609546,-0.12742709,-0.117258355,-0.056131523,0.21417183,-0.0041528447,-0.07120068,-0.23696479,-0.0871525,0.08400549,-0.03086003,0.027011367,-0.059654005,-0.25937474,0.24490163,-0.15633933,0.0016539021,-0.0830438,0.042434122,0.14445284,-0.033596344,0.03363385,-0.021821264,0.04438556,0.14179312,-0.114145204,0.0019083682,-0.011481717,-0.1970012,0.15736084,0.023367854,0.072456494,-0.20880143,0.10865186,0.04702361,0.06892519,-0.10789855,-0.10968948,0.020629466,0.1658071,0.24996553,-0.095065854,0.032720517,-0.015695706,-0.17750159,0.032543316,0.08401684,0.05749223,0.2025396,0.14775106,-0.21320191,0.09949504,0.06352713,0.05227655,0.01550674,0.083601184,0.050758712,0.025331873,0.106209405,0.10409646,0.064837605,0.13368423,0.20529751,-0.07094964,0.09772522,0.04693558,-0.13906023,-0.23964168,0.1893441,0.011599877,0.13001558,-0.26675272,-0.06846078,-0.16789183
to,-0.0092704035,-0.0020104316,-0.07043291,0.1501331,0.13499591,-0.08353224,0.106226295,0.24559325,-0.08777145,0.121343,-0.13725525,-0.057368267,0.022291848,0.07362401,-0.06487249,-0.07642543,-0.00510081,0.093869485,-0.016571725,-0.20543382,0.07804221,-0.1334271,0.0557407,-0.07089943,-0.071277134,-0.023214594,-0.090840615,-0.082016155,-0.16866636,0.07194044,0.08651927,-0.015709693,0.023294574,-0.01705636,-0.03664374,0.13245188,0.017636135,-0.072869584,-0.028122611,-0.059531536,-0.068652265,-0.030737156,-0.09396924,0.021086624,0.18876852,-0.0406319,-0.031722948,-0.13941014,0.1115882,0.06793322,0.07700386,-0.048144426,-0.044664036,-0.094532534,0.0045110495,0.0067564547,-0.09464739,-0.17587051,-0.19286625,-0.058608185,-0.061476137,-0.094289124,0.028681815,-0.086930215,-0.24182221,0.017317148,0.12011053,0.19940646,-0.20982933,0.16430049,-0.06615622,0.06434618,0.083375074,0.019453956,0.073597066,0.014900293,0.13623358,-0.1042951,-0.17231523,-0.015955558,-0.083126426,-0.041641325,-0.12927659,0.2917992,-0.17067726,-0.04869456,-0.08703738,0.084493965,0.091078036,-0.027616467,0.1821109,0.12538388,0.12953395,0.102299325,0.21657635,0.1108831,0.017281916,0.021780014,0.09453189,0.0588269,-0.12410512,0.1933347,0.11049477,-0.08789968,-0.02747394,-0.1846107,0.11759556,0.15467998,-0.1388935,-0.19060393,0.012508355,-0.18842377,-0.056445595,-0.07540911,0.10280367,-0.08239623,0.10485094,-0.25258532,-0.075523145,-0.055657215,-0.05216393,0.14214206,0.07611269,-0.04543478,-0.090351894,0.0020392523,-0.087574534,-0.0897954,-0.06166102,-0.05125577,0.09932408,0.011509279,-0.03304875,-0.1386858,-0.04036294,0.1507088,0.013457267,-0.019442987,-0.056552414,-0.2128164,0.18001173,-0.22678506,-0.063694514,-0.032753386,0.013234423,0.038061883,-0.01562594,0.06003677,0.017408526,0.06350942,0.10322878,-0.14398715,-0.0010602217,-0.0011997292,-0.1708094,0.14342949,0.14817432,0.021403275,-0.082732,0.09975833,0.06505519,0.052077968,-0.018252762,-0.088316865,-0.018948792,0.08715359,0.14269193,-0.05116114,-0.058855448,0.016740773,-0.117160246,0.037911247,0.07163471,-0.0158743,0.1535975,0.072843604,-0.13490179,0.05076915,0.04801812,0.10696421,-0.014105941,0.03959894,0.022674553,-0.0013233343,0.09402629,0.06823603,0.03042563,0.12867333,0.14573944,-0.04048928,0.07490375,0.04056757,-0.09890766,-0.15545826,0.1235932,0.0028510543,0.1053319,-0.2184313,0.0035590916,-0.09560013
he,-0.036907624,0.0447763,-0.095182575,0.0772981,0.08785206,-0.02321115,0.14068316,0.20580055,-0.040222216,0.12092004,-0.1086681,-0.027974952,0.004129934,0.038211808,-0.05845833,-0.1154089,0.018449606,0.15793006,-0.03876458,-0.2237037,0.14047465,-0.17997755,0.09821881,-0.12489928,-0.104823135,-0.03609783,-0.037621733,-0.15517485,-0.20034431,0.039222892,0.06450356,0.009559628,-0.021745348,-0.042256527,-0.0471384,0.11062923,0.0058449567,-0.08801522,-0.03730229,-0.074627414,-0.084866375,-0.004775232,-0.108677946,-0.006864883,0.1665615,-0.061109256,-0.068372555,-0.1014424,0.15408213,0.091857955,0.028178932,-0.030919634,-0.018989908,-0.055127684,0.016144002,-0.008306739,-0.05830169,-0.17218998,-0.1755153,-0.08633949,-0.06404191,-0.11157659,0.031349722,-0.09293306,-0.186267,0.013776487,0.03766816,0.17250898,-0.27744344,0.1452878,0.012924082,0.13505699,0.107682295,0.029422399,0.04473006,-0.03241362,0.17773926,-0.11897288,-0.106406726,0.0388594,-0.12668338,-0.09417001,-0.17002091,0.27786857,-0.17711833,-0.066485964,-0.042495865,0.046143014,0.11709998,-0.009149518,0.11807597,0.1859762,0.17696755,0.111803256,0.23299757,0.117171735,-0.0076523093,-0.02920118,0.08207773,0.015027462,-0.062103637,0.15904982,0.11727756,-0.10492629,0.053706165,-0.21770972,0.09751446,0.16054533,-0.0954469,-0.18315163,0.037602182,-0.2360791,-0.042928923,-0.06739326,0.1347731,-0.066363834,0.13313429,-0.18120255,-0.06908297,-0.036462724,-0.048924368,0.098201625,0.07336107,-0.070749715,-0.13305877,-0.034251288,-0.10223041,-0.10016621,-0.10805627,-0.05443557,0.1376409,0.03273081,-0.069907874,-0.20481832,-0.091337204,0.09324093,-0.06884907,0.0023255502,-0.06611584,-0.23406173,0.24862051,-0.18248618,-0.026293818,-0.052600443,0.03664469,0.07478631,-0.03297049,0.016122745,-0.0018571804,0.049705647,0.11624824,-0.12402384,0.035954673,-0.00728395,-0.16691335,0.15308404,0.046929985,0.0663927,-0.1406281,0.13189806,0.06821895,0.03459551,-0.09996108,-0.072416246,-0.024457669,0.13852577,0.19547492,-0.070517115,0.012810135,-0.0075418795,-0.13575822,0.031347696,0.09269168,0.03280443,0.18991445,0.12235666,-0.14465657,0.06942677,0.05107557,0.045110285,-0.013538763,0.05558406,0.041061908,0.0084804725,0.113098755,0.11396524,0.065545015,0.12930405,0.20294377,-0.080678694,0.11236451,0.02109756,-0.12564062,-0.17626578,0.18214737,0.03653362,0.105952844,-0.26335973,-0.02384263,-0.14842133
a,-0.05588405,0.04757972,-0.04407778,0.12954935,0.11125876,-0.04402606,0.14943832,0.2387463,-0.08580369,0.122209884,-0.12788756,-0.049070142,0.046884455,0.018063942,-0.02256441,-0.11551781,-0.0024277554,0.12068253,-0.0422497,-0.22675782,0.11544155,-0.1458877,0.09727433,-0.14257179,-0.08829007,-0.028618926,-0.07348439,-0.1291114,-0.17807281,0.040576454,0.07701444,-0.011936354,0.0060440535,0.020081887,-0.051071037,0.11916293,0.022165883,-0.07860643,-0.0096051525,-0.0687522,-0.11587359,0.0011239215,-0.114765376,0.027784755,0.13263124,-0.07962385,-0.049302433,-0.09195302,0.13619605,0.08609382,0.05856072,-0.04154789,-0.014583108,-0.08542346,0.030385843,0.013600943,-0.050559256,-0.13509913,-0.15831728,-0.063288115,-0.07044916,-0.11239626,0.030288095,-0.10518676,-0.2310746,-0.0043366705,0.050803248,0.18074442,-0.2648416,0.15112668,-0.02255361,0.09419481,0.117399305,0.027344976,0.019626204,-0.011873225,0.15237993,-0.1235629,-0.15813553,0.022075037,-0.11772615,-0.057405915,-0.13570727,0.30905664,-0.17033759,-0.013973598,-0.04877531,0.067948684,0.13387533,0.0056410655,0.14747895,0.16873747,0.16469349,0.1174663,0.25650072,0.1389303,-0.0018303453,-0.015241178,0.11298116,-0.0051970934,-0.09972644,0.17532979,0.08904829,-0.065931745,0.030365461,-0.22007659,0.085811764,0.18201558,-0.1156088,-0.1848126,0.03075441,-0.22769924,-0.06571526,-0.062833056,0.11961143,-0.062261596,0.1542572,-0.21760255,-0.072373785,-0.061310053,-0.039849784,0.12563206,0.05460578,-0.05836328,-0.08298311,-0.02231761,-0.12502025,-0.07301205,-0.11109217,-0.078955695,0.16838899,0.007815447,-0.029734295,-0.16324879,-0.07874848,0.11286952,-0.020880122,0.0011850002,-0.061093047,-0.20838168,0.220959,-0.18374394,-0.03565726,-0.06075664,0.021608539,0.1038141,-0.02153974,0.037896674,0.011034434,0.0846016,0.11309759,-0.14103472,0.0040690238,0.018335955,-0.18547063,0.14769965,0.06994417,0.077232264,-0.12495321,0.12658325,0.07564013,0.07172725,-0.06658743,-0.09992581,-0.031213086,0.13471878,0.20171492,-0.09619337,-0.008079967,-0.0010493393,-0.15734258,0.050044887,0.07782759,0.0028589375,0.18386361,0.11267558,-0.16344444,0.05247277,0.0487893,0.08220903,0.012578875,0.053272802,0.047240052,0.045104396,0.12811959,0.11648094,0.033675734,0.088338606,0.19951795,-0.06963558,0.07898739,0.0295979,-0.099581845,-0.16442363,0.1491252,-0.014330162,0.114068225,-0.22982961,-0.027337937,-0.115792945
was,-0.08373895,0.06626639,-0.031377494,0.05326448,0.048864767,0.008650896,0.10482695,0.17694297,-0.031341117,0.1152407,-0.09211414,0.013408039,0.030892376,-0.01204004,0.0023470924,-0.12520367,-0.011246112,0.12627845,-0.042500973,-0.22453134,0.09860071,-0.18158247,0.07563012,-0.1355408,-0.11276653,-0.05389282,-0.038525924,-0.15781112,-0.18218945,0.050689004,0.02558988,0.011957339,-0.03175347,-0.01053372,-0.028641641,0.084446505,-0.01918046,-0.089120455,-0.005667443,-0.04010083,-0.10741518,0.0063129403,-0.13899955,0.020235648,0.11776568,-0.080944516,-0.053254854,-0.062387664,0.11892189,0.086710855,0.041854694,0.016683368,-0.026732817,-0.054703508,0.053640954,-0.009764998,-0.039551355,-0.11010675,-0.13089874,-0.06491605,-0.07411107,-0.10718125,0.032487106,-0.13152209,-0.22400981,-0.021284245,0.03397957,0.14645176,-0.26906732,0.13204697,0.031600762,0.13932838,0.07862634,0.01906899,0.022151971,-0.011777541,0.17499486,-0.13524474,-0.10976813,0.03500352,-0.09894387,-0.048487786,-0.10424815,0.23596233,-0.15049185,-0.0138157,-0.031876225,0.065721296,0.15617663,0.023478853,0.09874584,0.1614346,0.13294682,0.117250726,0.20397247,0.10613603,0.023480626,-0.045186818,0.10520116,-0.027485102,-0.055594847,0.18291882,0.09357,-0.117446266,0.051300634,-0.22702177,0.05154016,0.18631019,-0.11213394,-0.15765327,0.040006977,-0.23070356,-0.079965755,-0.06636542,0.15380086,-0.080562085,0.13707261,-0.17433378,-0.07696079,-0.022856247,-0.028838115,0.08239332,0.067391224,-0.03380628,-0.13533057,-0.046442892,-0.09981365,-0.10874787,-0.1062583,-0.078163095,0.1829289,-0.0022667693,-0.044215064,-0.20464712,-0.078779384,0.099935986,-0.0340212,0.018100634,-0.049989633,-0.27408808,0.21428889,-0.1734312,-0.025460567,-0.053747855,0.023908706,0.11032266,-0.01109081,0.04503884,-0.017613273,0.047982905,0.12082835,-0.14229886,0.009901894,0.02918388,-0.21172988,0.14083806,0.05484142,0.07695185,-0.16069856,0.12938027,0.06400662,0.06616843,-0.10867899,-0.088669896,-0.025104156,0.15892327,0.24203244,-0.08131483,0.012005096,0.015755847,-0.17734408,0.045699976,0.06438126,0.03138926,0.21860704,0.13907114,-0.1863807,0.1078435,0.041206237,0.05627257,0.036525197,0.083409615,0.05007194,0.01356222,0.12640889,0.12268848,0.030055748,0.1064017,0.20736478,-0.07067696,0.11225,0.0071531646,-0.116437055,-0.21374175,0.20238192,0.011160375,0.11550423,-0.28091344,-0.032255195,-0.1422748
of,-0.075007044,0.058565762,-0.03738551,0.05600709,0.04763631,0.0141891,0.1014544,0.19006787,-0.046167918,0.0959129,-0.12659955,-0.0019298403,0.028307587,-0.00490333,0.0019951898,-0.14633556,0.028928079,0.15230004,-0.04502597,-0.20662068,0.11633921,-0.18184806,0.045112092,-0.1061149,-0.11102858,-0.048092246,-0.060303606,-0.12705098,-0.1865699,0.043562397,0.045449276,0.009900061,-0.039814424,-0.006203512,-0.03971092,0.061746478,-0.02388951,-0.1004662,0.008758702,-0.02000239,-0.11061259,0.029512407,-0.11907957,0.020471262,0.10081796,-0.099886015,-0.02048746,-0.061465945,0.11912966,0.09242922,0.07303722,-0.039557923,-0.0010744513,-0.072313555,0.027651835,0.0033375404,-0.060676172,-0.112499006,-0.13505137,-0.047554016,-0.029392043,-0.08642853,0.024668103,-0.11136673,-0.19338655,-0.025302503,0.088403046,0.15966105,-0.2676721,0.15404895,0.014013473,0.11531941,0.12700866,-0.017437749,0.0048964024,0.019695546,0.16520089,-0.13575725,-0.12049841,0.026519883,-0.103529155,-0.04881446,-0.11721767,0.27638826,-0.13951531,-0.01712777,-0.02120878,0.06184024,0.14705372,0.029346459,0.09661228,0.14693993,0.1485204,0.09385592,0.21281037,0.10015782,0.0041044448,-0.020563414,0.11468722,-0.02620855,-0.07365987,0.20834824,0.099358186,-0.102172546,0.02496784,-0.22811384,0.06303572,0.18396358,-0.11191403,-0.14637111,0.03662213,-0.22566804,-0.08320769,-0.06804944,0.14734606,-0.059124254,0.15114483,-0.1783076,-0.07589123,-0.02783666,-0.021052396,0.07501838,0.06358202,-0.014486326,-0.09504366,-0.00030778363,-0.10210945,-0.11730372,-0.11271675,-0.061697885,0.19992118,9.16573e-05,-0.031486426,-0.19737254,-0.0683569,0.08326972,-0.031590912,0.01329535,-0.049517784,-0.23495619,0.21295527,-0.15741308,-0.008796589,-0.06841851,0.015543672,0.12461788,-0.04426681,0.03957781,0.0042281197,0.056360945,0.12757699,-0.13785401,-0.01647255,0.009475625,-0.19378135,0.16473109,0.05564022,0.074000806,-0.17993824,0.12769231,0.07486711,0.07822149,-0.091227196,-0.07062053,-0.00021365499,0.15907805,0.24163443,-0.09036375,0.015257037,-0.016048139,-0.17736952,0.037579924,0.060830142,0.024202049,0.1992143,0.13806146,-0.18942359,0.10263317,0.05794453,0.07792986,0.037749663,0.06314266,0.048466597,0.057201438,0.11891593,0.12694667,0.052404623,0.11222422,0.19453934,-0.07355924,0.10090424,0.05325691,-0.11482892,-0.20840453,0.15510005,-0.016462943,0.13204795,-0.250862,-0.06564103,-0.12901624
it,0.022921966,-0.012806363,-0.086373836,0.1591177,0.16043168,-0.10285945,0.1394049,0.25166744,-0.06867931,0.09735887,-0.12797882,-0.08915669,0.025463786,0.059510723,-0.09082074,-0.060809102,0.0174201,0.07943107,-0.002582942,-0.18591425,0.08628601,-0.098013856,0.06685911,-0.107043624,-0.04004978,-0.0043413904,-0.08466443,-0.08690722,-0.14458257,0.07239709,0.09468661,-0.028994305,0.039624903,0.0013901218,-0.05752487,0.14809464,0.077817485,-0.05427983,-0.03200859,-0.079967596,-0.06572335,-0.033659015,-0.056951378,0.0025320987,0.17216402,-0.03434439,-0.053189147,-0.15220651,0.124218166,0.08138066,0.054759502,-0.056457844,-0.039138503,-0.087773524,0.0037470153,0.02866269,-0.058631618,-0.16077538,-0.18506469,-0.053362466,-0.09407877,-0.10159655,0.03627074,-0.06447219,-0.21476607,0.026263675,0.049980745,0.16153015,-0.20346466,0.13788973,-0.059746943,0.042304166,0.0942218,0.04022008,0.06081118,-0.033626545,0.14233312,-0.099744,-0.18480733,0.018725725,-0.111084856,-0.038761154,-0.15201348,0.2934817,-0.17543882,-0.039882325,-0.07946564,0.08445924,0.074478514,-0.05158413,0.18112694,0.14347933,0.13905834,0.120128535,0.21938193,0.11443656,0.010971588,0.008897574,0.07650848,0.06734499,-0.12033405,0.1840606,0.090403676,-0.041355975,-0.0002776827,-0.17423491,0.100890435,0.14639635,-0.10688772,-0.18531728,0.009750628,-0.19102772,-0.031347502,-0.05478484,0.08336713,-0.086762644,0.109348916,-0.2547318,-0.06943165,-0.07246837,-0.06282372,0.16303502,0.055719044,-0.0709655,-0.092299424,-0.0069309413,-0.108645804,-0.04955363,-0.060351554,-0.07209435,0.073033884,0.02341338,-0.03735555,-0.11298356,-0.06425093,0.13154545,-0.022527888,-0.049534097,-0.07084117,-0.18534224,0.17433274,-0.21154857,-0.05314294,-0.03414244,-0.00426343,0.034872454,-0.024294272,0.0025768154,0.01750212,0.064235054,0.07917591,-0.14675874,0.020305771,-0.0063663907,-0.14332925,0.1348345,0.12455468,0.053718142,-0.044940643,0.1250278,0.076167636,0.024670701,-0.034288704,-0.073717125,-0.040722094,0.06461873,0.12701954,-0.046888206,-0.044322208,0.025910603,-0.11362025,0.029781884,0.07784323,-0.014049896,0.16310613,0.0695631,-0.10445673,0.031613577,0.031075465,0.078865014,-0.04111868,0.036028944,0.030685065,0.020876793,0.096652515,0.10690098,0.019422757,0.08105731,0.16118136,-0.057087503,0.063658185,0.019741263,-0.085535444,-0.1256937,0.10114204,0.018768,0.09833259,-0.1930376,-0.0063926186,-0.075872146
she,-0.030427935,0.02725815,-0.0810679,0.08544112,0.09909155,-0.026887298,0.12749933,0.2035907,-0.04210785,0.118160285,-0.11042036,-0.03793465,-0.00026361892,0.040575936,-0.06735834,-0.09314723,0.00898542,0.12917978,-0.03460496,-0.2083359,0.13001013,-0.15476367,0.090371154,-0.11859794,-0.09417511,-0.02587579,-0.034704532,-0.1394238,-0.18749353,0.046265364,0.064839914,-0.002321545,-0.011285869,-0.043817863,-0.039117735,0.112609394,0.022380812,-0.07977508,-0.035305817,-0.073340766,-0.08504206,-0.013498467,-0.1075316,0.0033583639,0.1610377,-0.056383867,-0.06648338,-0.102331564,0.1479838,0.092434734,0.023948751,-0.029732611,-0.019518701,-0.05453468,0.022025395,0.0043065352,-0.05841326,-0.1732143,-0.17124715,-0.07819383,-0.06952174,-0.10444407,0.026775777,-0.08271292,-0.18083808,0.013665296,0.031184454,0.17062329,-0.24056064,0.14286959,0.014307117,0.12553819,0.09962442,0.026862884,0.040371068,-0.04240743,0.17086858,-0.12173593,-0.10328829,0.030998845,-0.115637615,-0.08148725,-0.1672111,0.25726125,-0.17564628,-0.055919472,-0.051997446,0.05174241,0.10754297,-0.014663456,0.13035896,0.17185162,0.17101085,0.114617825,0.21720982,0.11832854,-0.014674263,-0.023131084,0.07685324,0.025803696,-0.0716874,0.16490641,0.108390406,-0.09537111,0.058166172,-0.21152782,0.0983836,0.16057354,-0.09170783,-0.177258,0.025723241,-0.22880718,-0.039574288,-0.0637474,0.13069369,-0.07502837,0.12678927,-0.18883228,-0.06128345,-0.04690556,-0.047079418,0.10378268,0.06170259,-0.07466847,-0.123125374,-0.03696888,-0.09910953,-0.09883985,-0.09265335,-0.060971648,0.12622502,0.034574185,-0.07139825,-0.193072,-0.083161004,0.10620351,-0.058823127,0.00078438467,-0.05418339,-0.23602955,0.23196734,-0.19779582,-0.026781524,-0.04708805,0.029079128,0.0628808,-0.032546498,0.015423596,0.0025163465,0.055938315,0.11867563,-0.12456397,0.0364665,-0.0044594673,-0.15302478,0.14385574,0.07273999,0.06469981,-0.121368505,0.1274244,0.05931223,0.026890015,-0.08901672,-0.07768901,-0.025022328,0.119641215,0.18292381,-0.06243876,0.008224546,-0.0044654375,-0.12791504,0.02414777,0.092765585,0.03687491,0.19078481,0.10594767,-0.13626847,0.06728217,0.049222954,0.054950196,-0.015492342,0.06339287,0.05243067,0.002330032,0.11807534,0.111008964,0.061499402,0.11272394,0.19762954,-0.07178677,0.1075627,0.021826878,-0.10078973,-0.17615135,0.17192471,0.04655309,0.10627141,-0.25499576,-0.019226275,-0.13570659
you,0.27910134,-0.28722107,-0.17118092,0.4833105,0.46502167,-0.39881986,0.16294432,0.46999508,-0.19452651,0.089988515,-0.20767374,-0.31101775,0.06687889,0.26363596,-0.27535564,0.12098974,0.011147779,-0.09825434,0.1346555,-0.12056326,-0.08660905,0.11689955,0.020625727,-0.012021796,0.23127553,0.04853874,-0.2483188,0.108236104,-0.03445629,0.2092735,0.26212943,-0.12899838,0.28998536,0.12012251,-0.11599307,0.38818267,0.27568728,0.022630667,-0.09684218,-0.23478629,-0.0015608683,-0.13980198,0.14535464,-0.00037072747,0.34769532,0.09203683,-0.06532137,-0.4313879,0.07714034,0.06003929,0.109296136,-0.20579365,-0.20084444,-0.18776909,-0.053700488,0.11793916,-0.14736457,-0.275881,-0.30825356,-0.007620072,-0.20560382,-0.06785247,0.05500319,0.0069236523,-0.4217261,0.10511858,0.09238699,0.21276215,-0.06513134,0.15658915,-0.33471137,-0.18654765,0.062950015,0.13539635,0.23409201,-0.061838202,0.055026226,-0.06519127,-0.5237896,-0.06363978,-0.07290021,0.06895448,-0.1904216,0.4851486,-0.28519,-0.0423719,-0.2794942,0.1753622,-0.08945836,-0.25887242,0.3962866,0.080084056,0.053698074,0.19103739,0.25272128,0.16985296,0.09591392,0.09498733,0.038553085,0.27736038,-0.32849795,0.24919884,0.00059583224,0.09632104,-0.17709565,-0.029767135,0.17698394,0.123668164,-0.18233413,-0.327668,-0.082472816,-0.050247315,0.0696809,-0.049989652,-0.036848996,-0.14983322,0.07005511,-0.59472525,-0.10064366,-0.24826382,-0.1552921,0.39587057,0.073282525,-0.13478254,0.016759459,0.085736685,-0.1761812,0.069298394,0.072537385,-0.07683059,-0.21707577,0.06184188,0.027766943,0.12979296,0.008072117,0.28427404,0.019305557,-0.23167722,-0.10256733,-0.076396845,0.012198886,-0.34784314,-0.15789749,0.06550438,-0.10354561,-0.18889445,0.0136870155,-0.014017837,0.10531806,0.13629532,-0.030277835,-0.20933397,-0.038487058,-0.07680582,-0.039597467,0.091482975,0.39409474,-0.026713045,0.29354408,0.12044605,0.12993534,-0.02413479,0.18915476,0.0102044605,-0.16630091,-0.14610778,-0.1562323,0.045546677,-0.27264112,0.097452976,0.04065303,0.031380694,0.04863992,-0.15367752,0.049179174,-0.13952512,0.07723025,-0.086069986,-0.021988615,0.21084484,-0.1857855,-0.04732025,-0.029583089,0.011469211,0.07705642,0.0694256,-0.06874424,0.04290149,0.02714499,-0.043461032,-0.036379628,-0.019697465,0.0151318805,0.14267361,-0.08794494,-0.014071918,0.016336983,-0.08250407,0.08223354,0.1089197
